"Year","Zone","Category","Price Per Unit"
"2016","Zone 1","Cat 1","$0.05 "
"2017","Zone 1","Cat 2","$0.06 "
"2018","Zone 1","Cat 3","$0.06 "
"2019","Zone 1","Cat 4","$0.07 "
"2020","Zone 1","Cat 5","$0.07 "
"2021","Zone 1","Cat 6","$1.00 "
"2022","Zone 1","Cat 7","$1.10 "
"2016","Zone 2","Cat 1","$1.21 "
"2017","Zone 2","Cat 2","$1.33 "
"2018","Zone 2","Cat 3","$1.46 "
"2019","Zone 2","Cat 4","$1.61 "
"2020","Zone 2","Cat 5","$1.77 "
"2021","Zone 2","Cat 6","$1.95 "
"2022","Zone 2","Cat 7","$2.14 "
